nombre_modificador,nombre_en_cocina,etiqueta_cliente,seleccion_multiple,minimo_selecciones,maximo_selecciones
Sabor,Saborizante,¿Quiéres agregar algún sabor?,SI,0,4
Shot Extra,Shot Extra,¿Quiéres agregar un shot extra de café?,NO,0,1
Shot Extra Tradición,Shot Extra Tradición,¿Quiéres agregar un shot extra de café?,NO,0,1
Shot Extra Distinción,Shot Extra Distinción,¿Quiéres agregar un shot extra de café?,NO,0,1
Leche,Agregar Leche,¿Quiéres agregar leche?,NO,0,1
Cold Foam,Cold Foam,¿Quiéres Cold Foam para tu bebida?,NO,0,1
Endulzado,Endulzado,¿Quiéres endulzar tu bebida?,NO,0,1
